"Accepted Symbol","Synonym Symbol","Scientific Name","Genus","Family","Family Common Name","Order","Class","Division","Kingdom"
"ABELI","","Abelia","Abelia","Caprifoliaceae","Honeysuckle family","Dipsacales","Magnoliopsida","Magnoliophyta","Plantae"
"ABELM","","Abelmoschus","Abelmoschus","Malvaceae","Mallow family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABIES","","Abies","Abies","Pinaceae","Pine family","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABIET","","Abietinella","Abietinella","Thuidiaceae","","Hypnales","Bryopsida","Bryophyta","Plantae"
"ABILD","","Abildgaardia","Abildgaardia","Cyperaceae","Sedge family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ABRON","","Abronia","Abronia","Nyctaginaceae","Four o'clock family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABROT","","Abrothallus","Abrothallus","Uncertain Ascomycota Family","","Uncertain Ascomycota Order","Uncertain Ascomycota Class","Ascomycota","Fungi"
"ABRUS","","Abrus","Abrus","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"ABSCO","","Absconditella","Absconditella","Stictidaceae","","Ostropales","Ascomycetes","Ascomycota","Fungi"
"ABUTI","","Abutilon","Abutilon","Malvaceae","Mallow family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ACACI","","Acacia","Acacia","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"ACAEN","","Acaena","Acaena","Rosaceae","Rose family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"ACALY","","Acalypha","Acalypha","Euphorbiaceae","Spurge family","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"ACAMP","","Acamptopappus","Acamptopappus","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ACANT6","","Acanthocereus","Acanthocereus","Cactaceae","Cactus family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ACANT2","","Acanthomintha","Acanthomintha","Lamiaceae","Mint family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"ACANT3","","Acanthospermum","Acanthospermum","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ACANT7","","Acanthus","Acanthus","Acanthaceae","Acanthus family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"ACARO2","","Acarospora","Acarospora","Acarosporaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"ACAUL","","Acaulon","Acaulon","Pottiaceae","","Pottiales","Bryopsida","Bryophyta","Plantae"
"ACER","","Acer","Acer","Aceraceae","Maple family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"ACHIL","","Achillea","Achillea","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ACHLY","","Achlys","Achlys","Berberidaceae","Barberry family","Ranunculales","Magnoliopsida","Magnoliophyta","Plantae"
"ACHNA","","Achnatherum","Achnatherum","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ACHYR","","Achyrachaena","Achyrachaena","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ACHYR2","","Achyranthes","Achyranthes","Amaranthaceae","Amaranth family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ACHYR3","","Achyronychia","Achyronychia","Caryophyllaceae","Pink family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ACICA","","Acicarpha","Acicarpha","Calyceraceae","Calycera family","Calycerales","Magnoliopsida","Magnoliophyta","Plantae"
"ACIDA","","Acidanthera","Acidanthera","Iridaceae","Iris family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"ACINO","","Acinos","Acinos","Lamiaceae","Mint family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"ACIPH","","Aciphylla","Aciphylla","Apiaceae","Carrot family","Apiales","Magnoliopsida","Magnoliophyta","Plantae"
"ACISA","","Acisanthera","Acisanthera","Melastomataceae","Melastome family","Myrtales","Magnoliopsida","Magnoliophyta","Plantae"
"ACLEI","","Acleisanthes","Acleisanthes","Nyctaginaceae","Four o'clock family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ACMEL","","Acmella","Acmella","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ACNIS","","Acnistus","Acnistus","Solanaceae","Potato family","Solanales","Magnoliopsida","Magnoliophyta","Plantae"
"ACOEL","","Acoelorraphe","Acoelorraphe","Arecaceae","Palm family","Arecales","Liliopsida","Magnoliophyta","Plantae"
"ACONI","","Aconitum","Aconitum","Ranunculaceae","Buttercup family","Ranunculales","Magnoliopsida","Magnoliophyta","Plantae"
"ACORU","","Acorus","Acorus","Acoraceae","Calamus family","Arales","Liliopsida","Magnoliophyta","Plantae"
"ACOUR","","Acourtia","Acourtia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ACRAC","","Acrachne","Acrachne","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ACROB","","Acrobolbus","Acrobolbus","Acrobolbaceae","","Jungermanniales","Hepaticopsida","Hepaticophyta","Plantae"
"ACROC4","","Acroceras","Acroceras","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ACROC","","Acrocomia","Acrocomia","Arecaceae","Palm family","Arecales","Liliopsida","Magnoliophyta","Plantae"
"ACROC3","","Acrocordia","Acrocordia","Monoblastiaceae","","Dothideales","Ascomycetes","Ascomycota","Fungi"
"ACROL","","Acrolejeunea","Acrolejeunea","Lejeuneaceae","","Jungermanniales","Hepaticopsida","Hepaticophyta","Plantae"
"ACRON","","Acronychia","Acronychia","Rutaceae","Rue family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"ACROP2","","Acroporium","Acroporium","Sematophyllaceae","","Hypnales","Bryopsida","Bryophyta","Plantae"
"ACROP","","Acroptilon","Acroptilon","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ACROS2","","Acroscyphus","Acroscyphus","Caliciaceae","","Caliciales","Ascomycetes","Ascomycota","Fungi"
"ACROS","","Acrostichum","Acrostichum","Pteridaceae","Maidenhair Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"ACTAE","","Actaea","Actaea","Ranunculaceae","Buttercup family","Ranunculales","Magnoliopsida","Magnoliophyta","Plantae"
"ACTIN3","","Actinidia","Actinidia","Actinidiaceae","Chinese Gooseberry family","Theales","Magnoliopsida","Magnoliophyta","Plantae"
"ACTIN","","Actinostachys","Actinostachys","Schizaeaceae","Curly-grass family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"ADANS2","","Adansonia","Adansonia","Bombacaceae","Kapok-tree family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ADELI","","Adelia","Adelia","Euphorbiaceae","Spurge family","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"ADELO2","","Adelococcus","Adelococcus","Verrucariaceae","","Verrucariales","Ascomycetes","Ascomycota","Fungi"
"ADELO","","Adelolecia","Adelolecia","Bacidiaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"ADENA","","Adenanthera","Adenanthera","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"ADENI","","Adenium","Adenium","Apocynaceae","Dogbane family","Gentianales","Magnoliopsida","Magnoliophyta","Plantae"
"ADENO6","","Adenocarpus","Adenocarpus","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"ADENO","","Adenocaulon","Adenocaulon","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ADENO3","","Adenophorus","Adenophorus","Grammitidaceae","Kihi Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"ADENO5","","Adenophyllum","Adenophyllum","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ADENO4","","Adenostemma","Adenostemma","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ADENO2","","Adenostoma","Adenostoma","Rosaceae","Rose family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"ADESM","","Adesmia","Adesmia","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"ADIAN","","Adiantum","Adiantum","Pteridaceae","Maidenhair Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"ADLUM","","Adlumia","Adlumia","Fumariaceae","Fumitory family","Papaverales","Magnoliopsida","Magnoliophyta","Plantae"
"ADOLP","","Adolphia","Adolphia","Rhamnaceae","Buckthorn family","Rhamnales","Magnoliopsida","Magnoliophyta","Plantae"
"ADONI","","Adonis","Adonis","Ranunculaceae","Buttercup family","Ranunculales","Magnoliopsida","Magnoliophyta","Plantae"
"ADOXA","","Adoxa","Adoxa","Adoxaceae","Moschatel family","Dipsacales","Magnoliopsida","Magnoliophyta","Plantae"
"AECHM","","Aechmea","Aechmea","Bromeliaceae","Bromeliad family","Bromeliales","Liliopsida","Magnoliophyta","Plantae"
"AEGIL","","Aegilops","Aegilops","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"AEGIN","","Aeginetia","Aeginetia","Orobanchaceae","Broom-rape family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"AEGIP","","Aegiphila","Aegiphila","Verbenaceae","Verbena family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"AEGLE","","Aegle","Aegle","Rutaceae","Rue family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"AEGOP","","Aegopodium","Aegopodium","Apiaceae","Carrot family","Apiales","Magnoliopsida","Magnoliophyta","Plantae"
"AEGOP2","","Aegopogon","Aegopogon","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"AELUR","","Aeluropus","Aeluropus","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"AEONI","","Aeonium","Aeonium","Crassulaceae","Stonecrop family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"AERVA","","Aerva","Aerva","Amaranthaceae","Amaranth family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"AESAN","","Aesandra","Aesandra","Sapotaceae","Sapodilla family","Ebenales","Magnoliopsida","Magnoliophyta","Plantae"
"AESCH","","Aeschynomene","Aeschynomene","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"AESCU","","Aesculus","Aesculus","Hippocastanaceae","Horse-chestnut family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"AETHU","","Aethusa","Aethusa","Apiaceae","Carrot family","Apiales","Magnoliopsida","Magnoliophyta","Plantae"
"AFRAM","","Aframomum","Aframomum","Zingiberaceae","Ginger family","Zingiberales","Liliopsida","Magnoliophyta","Plantae"
"AFROC","","Afrocarpus","Afrocarpus","Podocarpaceae","Podocarpus family","Pinales","Pinopsida","Coniferophyta","Plantae"
"AFZEL","","Afzelia","Afzelia","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"AGALI","","Agalinis","Agalinis","Scrophulariaceae","Figwort family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"AGAPA2","","Agapanthus","Agapanthus","Liliaceae","Lily family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"AGARI","","Agarista","Agarista","Ericaceae","Heath family","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"AGAST","","Agastache","Agastache","Lamiaceae","Mint family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"AGATH2","","Agathis","Agathis","Araucariaceae","Araucaria family","Pinales","Pinopsida","Coniferophyta","Plantae"
"AGATH3","","Agathosma","Agathosma","Rutaceae","Rue family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"AGAVE","","Agave","Agave","Agavaceae","Century-plant family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"AGDES2","","Agdestis","Agdestis","Phytolaccaceae","Pokeweed family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"AGERA2","","Ageratina","Ageratina","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"AGERA","","Ageratum","Ageratum","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"AGLAI","","Aglaia","Aglaia","Meliaceae","Mahogany family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"AGLAO","","Aglaonema","Aglaonema","Araceae","Arum family","Arales","Liliopsida","Magnoliophyta","Plantae"
"AGNOR","","Agnorhiza","Agnorhiza","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"AGONI","","Agonimia","Agonimia","Verrucariaceae","","Verrucariales","Ascomycetes","Ascomycota","Fungi"
"AGOSE","","Agoseris","Agoseris","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"AGRES2","","Agrestia","Agrestia","Hymeneliaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"AGRIM","","Agrimonia","Agrimonia","Rosaceae","Rose family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"AGROP2","","Agropyron","Agropyron","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"AGROS","","Agrostemma","Agrostemma","Caryophyllaceae","Pink family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"AGROS2","","Agrostis","Agrostis","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"AGYRI","","Agyrium","Agyrium","Agyriaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"AHTIA","","Ahtiana","Ahtiana","Parmeliaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"AIDIA","","Aidia","Aidia","Rubiaceae","Madder family","Rubiales","Magnoliopsida","Magnoliophyta","Plantae"
"AILAN","","Ailanthus","Ailanthus","Simaroubaceae","Quassia family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"AIPHA","","Aiphanes","Aiphanes","Arecaceae","Palm family","Arecales","Liliopsida","Magnoliophyta","Plantae"
"AIRA","","Aira","Aira","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"AJUGA","","Ajuga","Ajuga","Lamiaceae","Mint family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"AKEBI","","Akebia","Akebia","Lardizabalaceae","Lardizabala family","Ranunculales","Magnoliopsida","Magnoliophyta","Plantae"
"ALBIZ","","Albizia","Albizia","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"ALCEA","","Alcea","Alcea","Malvaceae","Mallow family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ALCHE","","Alchemilla","Alchemilla","Rosaceae","Rose family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"ALCHO","","Alchornea","Alchornea","Euphorbiaceae","Spurge family","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"ALCHO2","","Alchorneopsis","Alchorneopsis","Euphorbiaceae","Spurge family","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"ALDRO","","Aldrovanda","Aldrovanda","Droseraceae","Sundew family","Nepenthales","Magnoliopsida","Magnoliophyta","Plantae"
"ALECT3","","Alectoria","Alectoria","Alectoriaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"ALECT2","","Alectra","Alectra","Scrophulariaceae","Figwort family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"ALECT","","Alectryon","Alectryon","Sapindaceae","Soapberry family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"ALETE","","Aletes","Aletes","Apiaceae","Carrot family","Apiales","Magnoliopsida","Magnoliophyta","Plantae"
"ALETR","","Aletris","Aletris","Liliaceae","Lily family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"ALEUR","","Aleurites","Aleurites","Euphorbiaceae","Spurge family","Euphorbiales","Magnoliopsida","Magnoliophyta","Plantae"
"ALHAG","","Alhagi","Alhagi","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"ALICI","","Aliciella","Aliciella","Polemoniaceae","Phlox family","Solanales","Magnoliopsida","Magnoliophyta","Plantae"
"ALISM","","Alisma","Alisma","Alismataceae","Water-plantain family","Alismatales","Liliopsida","Magnoliophyta","Plantae"
"ALKAN","","Alkanna","Alkanna","Boraginaceae","Borage family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"ALLAM","","Allamanda","Allamanda","Apocynaceae","Dogbane family","Gentianales","Magnoliopsida","Magnoliophyta","Plantae"
"ALLAN2","","Allantoparmelia","Allantoparmelia","Parmeliaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"ALLEN","","Allenrolfea","Allenrolfea","Chenopodiaceae","Goosefoot family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ALLIA","","Alliaria","Alliaria","Brassicaceae","Mustard family","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"ALLIO","","Allionia","Allionia","Nyctaginaceae","Four o'clock family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ALLIU","","Allium","Allium","Liliaceae","Lily family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"ALLOC2","","Allocasuarina","Allocasuarina","Casuarinaceae","She-oak family","Casuarinales","Magnoliopsida","Magnoliophyta","Plantae"
"ALLOC","","Allocetraria","Allocetraria","Parmeliaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"ALLOL","","Allolepis","Allolepis","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ALLOP2","","Allophyllum","Allophyllum","Polemoniaceae","Phlox family","Solanales","Magnoliopsida","Magnoliophyta","Plantae"
"ALLOP","","Allophylus","Allophylus","Sapindaceae","Soapberry family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"ALLOS","","Allosidastrum","Allosidastrum","Malvaceae","Mallow family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ALLOT2","","Alloteropsis","Alloteropsis","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ALLOT","","Allotropa","Allotropa","Monotropaceae","Indian Pipe family","Ericales","Magnoliopsida","Magnoliophyta","Plantae"
"ALLOW","","Allowissadula","Allowissadula","Malvaceae","Mallow family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ALMUT2","","Almutaster","Almutaster","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ALNUS","","Alnus","Alnus","Betulaceae","Birch family","Fagales","Magnoliopsida","Magnoliophyta","Plantae"
"ALOCA","","Alocasia","Alocasia","Araceae","Arum family","Arales","Liliopsida","Magnoliophyta","Plantae"
"ALOE","","Aloe","Aloe","Aloaceae","Aloe family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"ALOIN2","","Aloina","Aloina","Pottiaceae","","Pottiales","Bryopsida","Bryophyta","Plantae"
"ALOPE","","Alopecurus","Alopecurus","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"ALOPH","","Alophia","Alophia","Iridaceae","Iris family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"ALOYS","","Aloysia","Aloysia","Verbenaceae","Verbena family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"ALPHI","","Alphitonia","Alphitonia","Rhamnaceae","Buckthorn family","Rhamnales","Magnoliopsida","Magnoliophyta","Plantae"
"ALPIN","","Alpinia","Alpinia","Zingiberaceae","Ginger family","Zingiberales","Liliopsida","Magnoliophyta","Plantae"
"ALSIA","","Alsia","Alsia","Leucodontaceae","","Leucodontales","Bryopsida","Bryophyta","Plantae"
"ALSIN","","Alsinidendron","Alsinidendron","Caryophyllaceae","Pink family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ALSOP","","Alsophila","Alsophila","Cyatheaceae","Tree Fern family","Polypodiales","Filicopsida","Pteridophyta","Plantae"
"ALSTO","","Alstonia","Alstonia","Apocynaceae","Dogbane family","Gentianales","Magnoliopsida","Magnoliophyta","Plantae"
"ALSTR","","Alstroemeria","Alstroemeria","Liliaceae","Lily family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"ALTER2","","Alternanthera","Alternanthera","Amaranthaceae","Amaranth family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ALTHA","","Althaea","Althaea","Malvaceae","Mallow family","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ALVAR","","Alvaradoa","Alvaradoa","Simaroubaceae","Quassia family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"ALYSI","","Alysicarpus","Alysicarpus","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"ALYSS2","","Alyssoides","Alyssoides","Brassicaceae","Mustard family","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"ALYSS","","Alyssum","Alyssum","Brassicaceae","Mustard family","Capparales","Magnoliopsida","Magnoliophyta","Plantae"
"ALYXI","","Alyxia","Alyxia","Apocynaceae","Dogbane family","Gentianales","Magnoliopsida","Magnoliophyta","Plantae"
"AMAND","","Amandinea","Amandinea","Physciaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"AMARA","","Amaranthus","Amaranthus","Amaranthaceae","Amaranth family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"AMARY","","Amaryllis","Amaryllis","Liliaceae","Lily family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"AMBER","","Amberboa","Amberboa","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"AMBLY3","","Amblyodon","Amblyodon","Meesiaceae","","Bryales","Bryopsida","Bryophyta","Plantae"
"AMBLY","","Amblyolepis","Amblyolepis","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"AMBLY2","","Amblyopappus","Amblyopappus","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"AMBLY5","","Amblyopyrum","Amblyopyrum","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"AMBLY4","","Amblystegium","Amblystegium","Amblystegiaceae","","Hypnales","Bryopsida","Bryophyta","Plantae"
"AMBRO","","Ambrosia","Ambrosia","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"AMELA","","Amelanchier","Amelanchier","Rosaceae","Rose family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"AMERO","","Amerorchis","Amerorchis","Orchidaceae","Orchid family","Orchidales","Liliopsida","Magnoliophyta","Plantae"
"AMIAN","","Amianthium","Amianthium","Liliaceae","Lily family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"AMMAN","","Ammannia","Ammannia","Lythraceae","Loosestrife family","Myrtales","Magnoliopsida","Magnoliophyta","Plantae"
"AMMI4","","Ammi","Ammi","Apiaceae","Carrot family","Apiales","Magnoliopsida","Magnoliophyta","Plantae"
"AMMOC2","","Ammocharis","Ammocharis","Liliaceae","Lily family","Liliales","Liliopsida","Magnoliophyta","Plantae"
"AMMOC","","Ammocodon","Ammocodon","Nyctaginaceae","Four o'clock family","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"AMMOP","","Ammophila","Ammophila","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"AMMOS","","Ammoselinum","Ammoselinum","Apiaceae","Carrot family","Apiales","Magnoliopsida","Magnoliophyta","Plantae"
"AMOMU","","Amomum","Amomum","Zingiberaceae","Ginger family","Zingiberales","Liliopsida","Magnoliophyta","Plantae"
"AMORE","","Amoreuxia","Amoreuxia","Bixaceae","Lipstick-tree family","Violales","Magnoliopsida","Magnoliophyta","Plantae"
"AMORP","","Amorpha","Amorpha","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"AMORP2","","Amorphophallus","Amorphophallus","Araceae","Arum family","Arales","Liliopsida","Magnoliophyta","Plantae"
"AMPEL4","","Ampelaster","Ampelaster","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"AMPEL2","","Ampelodesmos","Ampelodesmos","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"AMPEL3","","Ampelopsis","Ampelopsis","Vitaceae","Grape family","Rhamnales","Magnoliopsida","Magnoliophyta","Plantae"
"AMPHI8","","Amphiachyris","Amphiachyris","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"AMPHI5","","Amphianthus","Amphianthus","Scrophulariaceae","Figwort family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"AMPHI9","","Amphibromus","Amphibromus","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"AMPHI4","","Amphicarpaea","Amphicarpaea","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"AMPHI2","","Amphicarpum","Amphicarpum","Poaceae","Grass family","Cyperales","Liliopsida","Magnoliophyta","Plantae"
"AMPHI10","","Amphidium","Amphidium","Orthotrichaceae","","Orthotrichales","Bryopsida","Bryophyta","Plantae"
"AMPHI6","","Amphilophium","Amphilophium","Bignoniaceae","Trumpet-creeper family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"AMPHI3","","Amphipappus","Amphipappus","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"AMPHI7","","Amphitecna","Amphitecna","Bignoniaceae","Trumpet-creeper family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"AMSIN","","Amsinckia","Amsinckia","Boraginaceae","Borage family","Lamiales","Magnoliopsida","Magnoliophyta","Plantae"
"AMSON","","Amsonia","Amsonia","Apocynaceae","Dogbane family","Gentianales","Magnoliopsida","Magnoliophyta","Plantae"
"AMYGD2","","Amygdalaria","Amygdalaria","Porpidiaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"AMYRI","","Amyris","Amyris","Rutaceae","Rue family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"ANACA2","","Anacamptodon","Anacamptodon","Fabroniaceae","","Hypnales","Bryopsida","Bryophyta","Plantae"
"ANACA","","Anacardium","Anacardium","Anacardiaceae","Sumac family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"ANACO","","Anacolia","Anacolia","Bartramiaceae","","Bryales","Bryopsida","Bryophyta","Plantae"
"ANACY2","","Anacyclus","Anacyclus","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ANADE","","Anadenanthera","Anadenanthera","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"ANAGA","","Anagallis","Anagallis","Primulaceae","Primrose family","Primulales","Magnoliopsida","Magnoliophyta","Plantae"
"ANAMY","","Anamylospora","Anamylospora","Porpidiaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"ANANA","","Ananas","Ananas","Bromeliaceae","Bromeliad family","Bromeliales","Liliopsida","Magnoliophyta","Plantae"
"ANAPH","","Anaphalis","Anaphalis","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"ANAPT2","","Anaptychia","Anaptychia","Physciaceae","","Lecanorales","Ascomycetes","Ascomycota","Fungi"
"ANAST","","Anastrepta","Anastrepta","Jungermanniaceae","","Jungermanniales","Hepaticopsida","Hepaticophyta","Plantae"
"ANAST2","","Anastrophyllum","Anastrophyllum","Jungermanniaceae","","Jungermanniales","Hepaticopsida","Hepaticophyta","Plantae"
